time/total_timesteps,rollout/ep_len_mean,time/episodes,time/time_elapsed,rollout/exploration_rate,time/fps,rollout/ep_rew_mean
144,36.0,4,46,0.8632000000000003,3,-85.037419
339,42.375,8,84,0.6779499999999996,4,-99.01262325
515,42.916666666666664,12,123,0.5107500000000001,4,-114.79600408333333
669,41.8125,16,160,0.3644500000000005,4,-69.51175731250001
828,41.4,20,197,0.21340000000000026,4,-77.0030739
989,41.208333333333336,24,234,0.060450000000000226,4,533.6369625416668
1153,41.17857142857143,28,273,0.05,4,438.31957678571433
1311,40.96875,32,313,0.05,4,367.86500575
1461,40.583333333333336,36,352,0.05,4,313.45899763888895
1615,40.375,40,390,0.05,4,266.639280375
1781,40.47727272727273,44,428,0.05,4,233.27934150000002
1966,40.958333333333336,48,468,0.05,4,201.03763960416669
2126,40.88461538461539,52,508,0.05,4,305.8185475384616
2290,40.892857142857146,56,544,0.05,4,278.1847919642857
2462,41.03333333333333,60,581,0.05,4,247.9888882666667
2634,41.15625,64,620,0.05,4,226.54361715625004
2798,41.14705882352941,68,657,0.05,4,249.07810288235294
2969,41.236111111111114,72,693,0.05,4,231.79494433333335
3109,40.9078947368421,76,729,0.05,4,214.42100678947372
3269,40.8625,80,768,0.05,4,196.81977066250002
3427,40.79761904761905,84,807,0.05,4,184.91628695238097
3606,40.97727272727273,88,847,0.05,4,168.94082240909094
3761,40.880434782608695,92,885,0.05,4,157.53831482608697
3922,40.854166666666664,96,923,0.05,4,144.08880170833336
4082,40.82,100,960,0.05,4,142.17228347000002
4262,41.18,104,997,0.05,4,236.69117828000003
4406,40.67,108,1036,0.05,4,236.63391719000003
4573,40.58,112,1075,0.05,4,236.10674278
4719,40.5,116,1109,0.05,4,231.85172829000004
4877,40.49,120,1146,0.05,4,230.03283765
5035,40.46,124,1184,0.05,4,162.24955218
5203,40.5,128,1222,0.05,4,162.93860483999998
5377,40.66,132,1260,0.05,4,171.65846907000002
5530,40.69,136,1299,0.05,4,174.36298754
5689,40.74,140,1338,0.05,4,176.25829597000003
5852,40.71,144,1374,0.05,4,174.20553924
5994,40.28,148,1413,0.05,4,174.38038249000004
6151,40.25,152,1454,0.05,4,111.34733880000002
6324,40.34,156,1492,0.05,4,204.85870606
6492,40.3,160,1532,0.05,4,205.73284131
6640,40.06,164,1569,0.05,4,205.75288401
6787,39.89,168,1608,0.05,4,181.75728679000002
6955,39.86,172,1646,0.05,4,268.55565241
7112,40.03,176,1683,0.05,4,269.22405567
7289,40.2,180,1721,0.05,4,276.90745139
7438,40.11,184,1758,0.05,4,274.41030315000006
7586,39.8,188,1792,0.05,4,275.41206047000003
7750,39.89,192,1828,0.05,4,273.89751364000006
7906,39.84,196,1865,0.05,4,278.52371386000004
8073,39.91,200,1904,0.05,4,268.9817671
8214,39.52,204,1940,0.05,4,177.37086435999998
8388,39.82,208,1979,0.05,4,284.80244447999996
8536,39.63,212,2018,0.05,4,288.30873030999993
8702,39.83,216,2056,0.05,4,285.58250426
8841,39.64,220,2094,0.05,4,287.21110878999997
8989,39.54,224,2132,0.05,4,207.8761842199999
9149,39.46,228,2172,0.05,4,208.63825988999997
9315,39.38,232,2212,0.05,4,294.19916943
9487,39.57,236,2254,0.05,4,291.46762113
9627,39.38,240,2291,0.05,4,298.48554050999996
9794,39.42,244,2329,0.05,4,301.01576077
9926,39.32,248,2363,0.05,4,306.61041308999995
